case_id;metric_id;metric_name;period;numerator;denominator;good_direction;segment
AIR;AIR_RETURN;Задачи с возвратом на уточнение требований;До;13;37;down;Всего
AIR;AIR_RETURN;Задачи с возвратом на уточнение требований;После;6;41;down;Всего
AIR;AIR_RETURN_UI;Задачи с возвратом — интерфейс и поведение экранов;До;5;15;down;Интерфейс
AIR;AIR_RETURN_UI;Задачи с возвратом — интерфейс и поведение экранов;После;2;17;down;Интерфейс
AIR;AIR_RETURN_INT;Задачи с возвратом — данные и интеграция;До;8;22;down;Интеграция
AIR;AIR_RETURN_INT;Задачи с возвратом — данные и интеграция;После;4;24;down;Интеграция
HBR;HBR_VENDOR_RETURN;Инциденты, возвращённые вендором из-за неполных данных;До;9;26;down;Всего
HBR;HBR_VENDOR_RETURN;Инциденты, возвращённые вендором из-за неполных данных;После;3;29;down;Всего
KSK;KSK_KIT_COMPLETE;Первая передача с полным диагностическим комплектом;До;31;58;up;Всего
KSK;KSK_KIT_COMPLETE;Первая передача с полным диагностическим комплектом;После;55;67;up;Всего
TD;TD_RETURN;Заявки с возвратом на уточнение исходных данных;До;49;143;down;Всего
TD;TD_RETURN;Заявки с возвратом на уточнение исходных данных;После;18;157;down;Всего
BC;BC_FIRST_PASS;Новые SKU, принятые редактором с первого раза;До;43;61;up;Всего
BC;BC_FIRST_PASS;Новые SKU, принятые редактором с первого раза;После;60;67;up;Всего
PF;PF_MANUAL;Обращения, потребовавшие ручной доработки;До;34;127;down;Всего
PF;PF_MANUAL;Обращения, потребовавшие ручной доработки;После;12;139;down;Всего
