case_id;period;reason;count
TD;До;Масса, габариты или состав груза;23
TD;До;Условия погрузки;16
TD;До;Адрес или контакт;10
TD;После;Масса, габариты или состав груза;7
TD;После;Условия погрузки;6
TD;После;Адрес или контакт;5
BC;До;Категория или линейка;7
BC;До;Объём, единица или вариант SKU;6
BC;До;Изображение или обязательное описание;5
BC;После;Категория или линейка;3
BC;После;Объём, единица или вариант SKU;2
BC;После;Изображение или обязательное описание;2
PF;До;Восстановление обязательных данных;16
PF;До;Исправление маршрута;11
PF;До;Разбор передачи в CRM;7
PF;После;Восстановление обязательных данных;5
PF;После;Исправление маршрута;4
PF;После;Разбор передачи в CRM;3
