case_id;period;observation_no;active_seconds
TD;До;1;672
TD;До;2;721
TD;До;3;784
TD;До;4;836
TD;До;5;881
TD;До;6;927
TD;До;7;968
TD;До;8;1001
TD;До;9;1044
TD;До;10;1096
TD;До;11;1148
TD;До;12;1191
TD;До;13;1247
TD;До;14;1326
TD;До;15;1392
TD;До;16;1483
TD;До;17;1648
TD;После;1;436
TD;После;2;482
TD;После;3;511
TD;После;4;557
TD;После;5;596
TD;После;6;634
TD;После;7;669
TD;После;8;697
TD;После;9;721
TD;После;10;738
TD;После;11;769
TD;После;12;806
TD;После;13;843
TD;После;14;886
TD;После;15;932
TD;После;16;984
TD;После;17;1049
TD;После;18;1137
TD;После;19;1283
